"","cod_canton","recuperados"
"1",112,315
"2",110,2437
"3",106,660
"4",118,1351
"5",103,3399
"6",117,9
"7",102,1186
"8",108,1799
"9",120,35
"10",115,543
"11",107,380
"12",114,657
"13",119,129
"14",104,308
"15",101,11339
"16",109,1131
"17",105,21
"18",113,1118
"19",116,30
"20",111,837
"21",201,2996
"22",205,148
"23",203,345
"24",215,170
"25",214,302
"26",206,365
"27",209,139
"28",207,231
"29",208,346
"30",216,102
"31",210,1455
"32",204,18
"33",202,481
"34",212,54
"35",213,213
"36",211,46
"37",306,49
"38",301,765
"39",308,182
"40",304,56
"41",303,1250
"42",307,383
"43",302,266
"44",305,173
"45",402,531
"46",407,242
"47",408,240
"48",401,2129
"49",406,251
"50",409,353
"51",405,639
"52",404,310
"53",403,571
"54",410,233
"55",507,71
"56",504,84
"57",506,184
"58",505,110
"59",511,54
"60",510,162
"61",501,189
"62",509,18
"63",502,356
"64",503,160
"65",508,55
"66",603,31
"67",610,662
"68",608,33
"69",602,249
"70",611,154
"71",607,178
"72",604,114
"73",605,138
"74",609,97
"75",601,632
"76",606,206
"77",706,251
"78",701,865
"79",705,105
"80",702,518
"81",703,515
"82",704,92
"83",999,294
